# Community catalog for Cursors: cursor sets on rw-designer.com, most downloaded first.
# Generated by tools/update-catalog.ps1 on 2026-09-15 from 11552 sets. It lists names and links only;
# the app downloads a set from rw-designer.com when it is clicked. Each set is licensed by its author, as shown on its page.
slug	name	author	downloads	license	cursors	roles	animated	toprated	arrow	link	text	busy
rainbow-16	Rainbow	GROXMANIAC	214	Release to Public Domain	7	0	0	0	113460			
rediron-emerald-green-edit	Rediron Emerald Green Edit	🖱Cursor Mania🖱	214	Custom (contact author)	15	13	15	0	222501	222503	222506	
tsuruko-semba	Tsuruko Semba	Remileth	214	NonCommercial Usage Only (CC nc)	17	17	10	1	229296	229310	229301	229299
ttl	Take the L	Jonny Depthan	214	Release to Public Domain	5	1	5	0	226562			
tzar-the-burden-of-the-crown-2	Tzar: The Burden of the Crown Monotone	THTH	214	Release to Public Domain	12	0	0	0	233377			
vs-7-0-sapphire-alternative-edit	VS 7.0 Sapphire Alternative Edit	🖱Cursor Mania🖱	214	Custom (contact author)	17	11	2	0	245134	245139	245135	245136
win-7-infernal-light-blue-edit	Windows 7 Infernal Light Blue Edit	🖱Cursor Mania🖱	214	Custom (contact author)	16	13	2	0	224459	224463		224460
winblows98cursorsetal	⩬§⃞ Winblows 98	꧁​Ꮯʋꝛ̢ ⳽σ̴ꝛ̢⬩Ꮯⱺ︠͡ ɭȴٟᥱᥴ​ ︠Ꞇῗٟσ̴ᥰٟῗٟﬆ꧂	214	Custom (contact author)	9	6	0	0	226269	226271		226272
windows-10-mac-os-x-style-yellow	Windows 10 Mac OS X Style Yellow	🖱Cursor Mania🖱	214	Custom (contact author)	15	10	2	0	202656	202661	202657	202658
world-and-stuff	world and stuff	Biker	214	Release to Public Domain	7	4	5	0	46709			
xpvista-2	XPVista 2	abdillahindo	214	Release to Public Domain	15	15	2	1	141743	141757	141748	141746
acog-scope	Acog TA648-308	el_tao-le_tao-tao	213	Release to Public Domain	17	17	0	1	163575	163591	163581	163579
anathema-light-purple-and-blue	Anathema Light Purple and Blue	RIDDLER	213	Custom (contact author)	15	15	12	0	216995	217009	217000	216998
arrow-1	arrow	Noah Bear	213	Release to Public Domain	6	5	0	0	64476	64478		
extremeredfer	Extreme Red Fer	fernysadoc	213	NonCommercial Usage Only (CC nc)	15	15	6	0	73630	73639	73643	73633
harry-s-spells	Harry Potter spell	Username destroy	213	Release to Public Domain	12	9	12	0	81132	80921	80924	80919
hummingbird	Hummingbird	2ndmowae	213	Release to Public Domain	16	13	8	1	128751	128759	128770	128772
procress	Procress	꧁ Ryjerun ꧂	213	Release to Public Domain	15	14	15	1	157595	157612	157602	157598
random-i	Random number I	ʎppnᙠ ǝsuǝsuoN	213	Custom (contact author)	9	2	4	1	190170			
saradomin-gs-cursors	Saradomin GS (godsword) runescape s$t	jessycremer	213	Release to Public Domain	3	1	3	0	22301		22301	
terry-hintz	Terry Hintz	Terry Cursor	213	Release to Public Domain	16	9	16	0	159894	159893	159890	
waw-weapon	WaW weapon	Lieutenant General Smith	213	Release to Public Domain	96	1	0	0	156298			
all-hallows-eve	All Hallows Eve	Shiminok	212	Release to Public Domain	15	14	10	0	117680	117681	117682	117683
anathema-white-1	Anathema White	🖱Cursor Mania🖱	212	Custom (contact author)	15	14	10	1	194532	194530	194534	194524
animated-and-other	Animated and Other	inactive account	212	Release to Public Domain	12	5	5	0	152276	152264		152262
how-to-train-your-dragon	How to train your dragon	lesfilles4	212	Release to Public Domain	5	0	0	0	63485			
joker	Joker	RIDDLER	212	Release to Public Domain	17	17	0	1	217745	217759	217750	217748
minecraft-wheat-tools	Minecraft Wheat & Tools	Szling	212	Release to Public Domain	26	1	26	0	100763			
mouse-pics-4-pack	Mouse Pics 4 Pack	Edward	212	Release to Public Domain	4	2	0	0	59918			
silver-green-3d-animated	Silver Green 3D Animated	🖱Cursor Mania🖱	212	Custom (contact author)	16	13	14	0	199021	199023	199026	
terria	Terraria	Mik ike	212	Release to Public Domain	3	0	0	1	189232			
windows-7-black-infernal-8	Windows 7 Black Infernal Blue-Purple Edit	🖱Cursor Mania🖱	212	Custom (contact author)	15	13	2	0	230130	230135	230141	230131
anathema-yellow-1	Anathema Yellow	RIDDLER	211	Custom (contact author)	15	15	12	1	213909	213923	213914	213912
connect	CONNECT	netbrain	211	Release to Public Domain	17	17	7	1	113586	113601	113592	113589
full-colored-evo-7-med-dark-blue	Windows 7 Evo OS Medium Dark Blue Edit	🖱Cursor Mania🖱	211	Custom (contact author)	15	14	2	0	221774	221778	221784	221775
kites	Kites	mcgreeny	211	Custom (contact author)	10	9	3	0	52786	52783	52780	52782
minecraft-25	Minecraft blocks and item's	𝔅𝔩𝔬𝔰𝔰𝔬𝔪🌸	211	Release to Public Domain	8	0	0	1	253283			
moving	Moving	JManGames	211	Release to Public Domain	5	5	0	1	111404			
oxygen-dark-red	Oxygen Dark Red	🖱Cursor Mania🖱	211	Custom (contact author)	15	6	2	1	196637	196630	196636	
rotating-arrow	Rotating Arrow	Mr X	211	Release to Public Domain	15	15	15	1	73528	73530	73526	73536
serenade-exe	Serenade.EXE (MegaMan BN)	xXxPastelGothAbsolxXx	211	NonCommercial Usage Only (CC nc)	12	12	10	0	205794	205805	205797	
smallsam	Small Sam	Small Samson	211	Release to Public Domain	17	10	12	1	112629	112625	112632	112627
vs-1-0-dark-blue	VS 1.0 Dark Blue	🖱Cursor Mania🖱	211	Custom (contact author)	15	10	2	0	208316	208321	208317	208318
waterwave-1	Waterwave	🖱Cursor Mania🖱	211	Custom (contact author)	12	11	12	0	223737	223741		223738
windows-7-black-infernal-5	Windows 7 Black Infernal Medium Blue Edit	🖱Cursor Mania🖱	211	Custom (contact author)	15	13	2	0	230084	230089	230095	230085
windows-aero-default-remade	Windows Aero/Default Remade	ILoveDogs5335	211	Release to Public Domain	34	17	2	1	253530	253600	253550	253532
aeras-black	Aeras Black	RIDDLER	210	Custom (contact author)	15	15	8	0	216577	216591	216582	216580
bass-exe	Bass.EXE (MegaMan BN)	xXxPastelGothAbsolxXx	210	NonCommercial Usage Only (CC nc)	14	14	13	0	205780	205793	205785	205783
junk	Junk	Bobcat	210	Release to Public Domain	9	0	1	0	145161			
mustard	Mustard	RIDDLER	210	Release to Public Domain	17	17	0	1	143481	143495	143486	143484
planets-1	ps92	Bobo226	210	Release to Public Domain	3	1	0	0	132497			
pok-balls	pokéballs	yorkie	210	Release to Public Domain	4	1	0	0	116869			
stamped-with-dots	Stamped with dots	Vickvvy	210	NonCommercial Usage Only (CC nc)	8	1	1	1	99568			
zebra-bibata	Zebra Bibata	RIDDLER	210	Custom (contact author)	15	15	15	0	215486	215500	215491	215489
dont-see	dont-see-anything	useless_being	209	Release to Public Domain	5	5	0	1	176173	176177		176176
hunter-shyrock	hunter shyrock	objectme12	209	Release to Public Domain	3	1	0	0	144963			
lee-kiyoung	lee kiyoung!	mocha-chan!	209	Release to Public Domain	17	16	17	1	256626	256627	256631	256620
math	Math Arrow	nibbler	209	NonCommercial Usage Only (CC nc)	14	0	0	1	87165			
stickguy	stickguy	Gapy Dežman	209	Release to Public Domain	3	3	3	0	160299	160300	160301	
white-special-edition	White Special Edition	🖱Cursor Mania🖱	209	Custom (contact author)	15	12	2	0	198925	198926	198933	198922
windows-7-red	Windows 7 Red	🖱Cursor Mania🖱	209	Custom (contact author)	16	14	2	1	194697	194701	194708	200332
windows-xp-3d-pink-edit	Windows XP 3D Pink Edit	🖱Cursor Mania🖱	209	Custom (contact author)	16	9	2	1	219181	219180	219177	
wobbly-pointers	Wobbly Pointers	Aaron Perezchica	209	Release to Public Domain	11	11	11	0	167202	167203	167205	167204
aero-7	Aero 10 with Aero 7	FeliTheCoolEasy	208	NonCommercial Usage Only (CC nc)	4	4	2	0	160116			160115
aero-gold-shadow	Aero gold shadow	🖱Cursor Mania🖱	208	Custom (contact author)	15	13	2	1	194493	194499	194505	194494
black-2	Black 2	joerafi2015	208	For Evaluation Purposes Only	3	1	0	0	56487			
blaze-cunningham-mixture-	blaze cunningham (mixture of rc9ng and blaze the cat)	NomiShy&Meh300	208	Release to Public Domain	14	14	13	0	78538	78551	78541	78540
cars-1	Cars	Matheus	208	Release to Public Domain	5	0	0	1	92097			
just-some-collection-mac	Just some collection (Mac)	Minecraft2.0	208	Release to Public Domain	3	3	1	0	163889	163887		
peaceinusefinally-beakdownbuiltp	Peace In Use Finally - Break Down Built Problem	adn	208	Attribution Required (CC by)	7	5	6	0	78626	78627	78630	78629
requests	Requests	1dmyovaries	208	Release to Public Domain	3	0	1	0	40966			
rune-scimitars-gods	Rune Scimitars (Gods)	daniel boyz	208	Release to Public Domain	3	1	0	0	171978			
salt-cover	Salt Cover	Matheus	208	Release to Public Domain	10	9	2	1	92597	92605	92602	92600
simples	simples	MedicGaming	208	Release to Public Domain	3	3	0	0	238063	238064		
s-set	S-Set	Rex	208	Release to Public Domain	4	4	2	0	144234			144236
the-ooze	the ooze!	db	208	Release to Public Domain	5	5	1	0	187655	187657	187668	
webfishing-incomplete	webfishing cursor!! [FULL DOWNLOAD IN DESCRIPTION]	asdasdasdf	208	Release to Public Domain	3	3	0	0	216066			
carmageddon	CARMAGEDDON	THTH	207	Release to Public Domain	19	3	5	0	250373	250380		250381
dukenukemfirstpack	Duke Nukem: The first	TDaemon	207	Release to Public Domain	4	4	1	0	138632			
google-1	google	AidenCats	207	Release to Public Domain	6	5	5	0	229368		229365	229367
lolololololololololololololol	holy cross	What The V?	207	NonCommercial Usage Only (CC nc)	3	1	0	0	190014			
macos-remade	MacOS Remade	ILoveDogs5335	207	Release to Public Domain	34	17	4	0	255216	255211	255220	255205
me-when-the-when-me-when-me-when	WebOS Pointer Pink	Idk	207	Attribution+NonCommercial (CC by-nc)	17	17	2	0	227676	227679	227694	227683
minecraft-command-obtain-only	Minecraft Command Obtain only	SixtyMonster221	207	Release to Public Domain	5	2	0	0	129519			
volantes-light	Volantes Light	🖱Cursor Mania🖱	207	Custom (contact author)	18	12	2	0	197134		197132	197127
zebra	Zebra	RIDDLER	207	Release to Public Domain	15	15	0	1	134319	134333	134324	134322
aero-tailles-shad-garnet-edit	Aero Tailless Shadow Garnet Edit	🖱Cursor Mania🖱	206	Custom (contact author)	15	13	2	0	222925	222930	222936	222926
alpha-1	Alpha	bzderek	206	Release to Public Domain	8	8	5	1	145919		145920	145921
basic-red	Basic Red	Mahlzeit	206	Release to Public Domain	15	15	6	0	73585	73594	73598	73587
bob-the-policeman	Bob the Policeman	Shiminok	206	Release to Public Domain	14	14	14	1	117790		117792	117783
claynor-world	ClayNor World	GamePlay342	206	Release to Public Domain	13	13	4	1	192209	192222	192215	192213
covid	Covid 19(corona virus)	♠♣♥♦Liyan Graphicsツ	206	Release to Public Domain	7	1	0	0	164634			
fangle	FANGLE	netbrain	206	Release to Public Domain	22	17	8	1	112053	112067	112058	112056
full-colored-evo-7-red	Windows 7 Evo OS Full Red Edit	🖱Cursor Mania🖱	206	Custom (contact author)	15	14	2	0	221208	221223	221218	221209
jigsaw	Jigsaw Collection	adrenochromedream	206	Custom (contact author)	5	2	0	1	107390			
kawaiicutecowmd	Kawaii Cute Cow	ツ☪ NaLexnu ♡♥	206	Attribution+NonCommercial (CC by-nc)	18	17	3	1	184975	184973	184977	184966
oxygen-orange	Oxygen Orange	🖱Cursor Mania🖱	206	Custom (contact author)	15	6	2	1	196728	196721	196727	
sage-s-best	GreenNinja47830's Random	Sage	206	Release to Public Domain	17	5	0	0	71826	72044		71968
windows-95-blue	Windows 95 Blue	Dhruvesh	206	Release to Public Domain	9	9	0	1	155510	155512	155514	155511
zekerwetenyael-2	things with holes	zekerwetenyael	206	Release to Public Domain	3	0	0	1	41821			
anathema-light-purple-blue	Anathema Light Purple-Blue	🖱Cursor Mania🖱	205	Custom (contact author)	15	15	12	1	216912	216910	216914	216904
b6h	B6H	LuisBaez	205	Release to Public Domain	12	12	3	1	227645	227640	227644	227642
cersd132-gd-icons	Cersd132 Gd icons	CubeMetrix	205	Release to Public Domain	17	17	2	0	206894	206891	206897	206885
dragon	dragon	dragrob	205	Release to Public Domain	8	1	2	0	100999			
drawn-hands-by-anonymous125714	Drawn Hands	Anonymous	205	Release to Public Domain	4	1	0	0	229414	229414		
full-colored-evo-7-light-blue	Windows 7 Evo OS Full Light Blue Edit	🖱Cursor Mania🖱	205	Custom (contact author)	15	14	2	0	221347	221351	221357	221348
nicknames	Nicknames	Lost Girl	205	Release to Public Domain	13	0	0	0	24187			
the-truth-cartepillar	The Truth Cartepillar	Wintermoron	205	Release to Public Domain	15	15	9	1	90234	90232	90228	90236
6247	6247	cryonauts	204	Release to Public Domain	3	0	0	0	78927			
basikest	Basikest [N]	Noahly	204	Attribution Required (CC by)	17	17	3	1	224089	224103	224094	224092
blablabla	blablabla	guno23	204	Release to Public Domain	12	1	6	0	20181			
full-colored-evo-7-med-purple	Windows 7 Evo OS Medium Purple Edit	🖱Cursor Mania🖱	204	Custom (contact author)	15	14	2	0	221988	221992	221998	221989
happy-new-year-2021	Happy New Year 2021	RIDDLER	204	Release to Public Domain	17	17	0	1	147158	147172	147163	147161
large-white	Large White	ILoveDogs5335	204	Release to Public Domain	18	17	0	0	250851	250837	250846	250848
ldd-extract	Lego Digital Designer	Account not found	204	Release to Public Domain	15	0	0	1	179110			
minecraft-green-diamond	Minecraft Green Diamond	🖱Cursor Mania🖱	204	Custom (contact author)	15	15	15	0	220929	220943	220934	220932
progressbar-10-full	Progressbar 10 Full	Selale H.	204	Release to Public Domain	17	17	4	0	248286	248284	248288	248278
prototype	Prototype	RIDDLER	204	Release to Public Domain	4	1	0	1	147175			
random-23	Random	Mapsboy	204	Release to Public Domain	9	0	0	1	132166			
retro-4	Retro Black And White	Emiuy2121	204	Release to Public Domain	13	11	2	1	229149	229152	229160	229150
spider-man-colors	Blue Red	Mr X	204	Release to Public Domain	15	15	3	0	72514	72516	72512	72521
8bitsweater	8bitsweater	Just_Another_Cursor_	203	Attribution Required (CC by)	5	5	5	1	109989	109992	109988	109990
climber	Climber	neo	203	Release to Public Domain	7	6	0	0	230869	230872	230870	230873
directory-opus	Directory Opus	nibbler	203	Attribution+NonCommercial (CC by-nc)	13	0	0	1	206789			
etg-casey	Enter The Gungeon Casey pack	gpapid	203	Release to Public Domain	10	1	0	1	149199			
ghastly-monster	Ghastly Monster	LazarheaD	203	Release to Public Domain	3	3	0	1	91841	91843		
haruhi-suzumiya-part-2	Haruhi Suzumiya Part 2	desu ^_^	203	Release to Public Domain	11	0	0	1	256758			
kings-quest-v	KINGS QUEST V	THTH	203	Release to Public Domain	14	12	7	0	216179	216181	216184	216180
oo-ee-aaa	oo ee aaa	awrfawga	203	Release to Public Domain	3	0	2	1	248094			
random-32x32	Random 32x32	yambo10	203	Release to Public Domain	15	15	2	0	68511	68524	68525	68514
ruby-juice	Ruby Juice	indapni	203	Release to Public Domain	17	17	17	1	207536	207564	207562	207539
sad	Sad	RoosterWizz	203	Release to Public Domain	15	15	0	0	188158	188189	188163	188161
types-of-named-colored	Types of Named colored	TenZue	203	Release to Public Domain	11	0	0	0	192417			
usa-1	USA	baca	203	Release to Public Domain	5	5	4	0	183384			183387
user32dll	✎ user32.dll	꧁​Ꮯʋꝛ̢ ⳽σ̴ꝛ̢⬩Ꮯⱺ︠͡ ɭȴٟᥱᥴ​ ︠Ꞇῗٟσ̴ᥰٟῗٟﬆ꧂	203	Custom (contact author)	5	3	2	1	210657			
watermigeon	Watermelon Pigeon	WatermelonPigeon	203	Release to Public Domain	14	14	6	1	250790	250803	250795	250793
windows-7-black-infernal-14	Windows 7 Black Infernal Garnet Edit	🖱Cursor Mania🖱	203	Custom (contact author)	15	13	2	0	231020	231025	231031	231021
3d-7	3D for win7	rafael	202	Attribution Required (CC by)	3	3	2	0	64886			64888
ancient-wars-sparta	Ancient Wars Sparta	THTH	202	Release to Public Domain	25	1	13	0	233772			
caca-mania	ultimate good back	ultimatemegacursor	202	Release to Public Domain	5	1	3	0	69295			
eridan-ampora	Eridan Ampora	leawkwardpenguin	202	Release to Public Domain	15	15	15	1	45058	45056	45060	45050
metro-x3-light-white	Metro X3 Light White	🖱Cursor Mania🖱	202	Custom (contact author)	15	13	15	0	200041	200046	200042	200043
rainbow	Rainbow	𝔅𝔩𝔬𝔰𝔰𝔬𝔪🌸	202	Release to Public Domain	5	2	0	0	238526		238934	
real-world-2	Real World	Bobcat	202	Release to Public Domain	17	17	2	1	146337	146351	146342	146340
rediron-orange-edit	Rediron Amber Orange Edit	🖱Cursor Mania🖱	202	Custom (contact author)	15	13	15	0	222486	222488	222491	
yaru-old	Ubuntu Yaru	blub	202	Release to Public Domain	58	15	4	0	255082	255081	255115	255112
anathema-light-blue	Anathema Light Blue	🖱Cursor Mania🖱	201	Custom (contact author)	15	15	12	0	200235	200233	200237	200227
bash-shell	Bash Shell Theme	[Generic_name]	201	Release to Public Domain	14	14	13	1	163602	163609	163612	163604
blazethecatcursors	Blaze the Cat	zanyk_varys	201	Release to Public Domain	21	17	13	0	253342	253350	253357	253341
jade-dreams-classic	Jade Dreams Classic	🖱Cursor Mania🖱	201	Release to Public Domain	16	13	16	0	221958	221960	221963	
mario-luigi-dream-team-punter	Mario & Luigi Dream Team	000	201	Release to Public Domain	20	17	12	0	162123	162142	162129	162127
my-random	random	porygon7	201	Release to Public Domain	11	4	10	0	14164	14167		14166
riddler	Riddler	RIDDLER	201	Release to Public Domain	15	15	1	1	109290	109305	109296	109293
silver-8	SILVER	THTH	201	Release to Public Domain	15	13	15	0	207399	207419	207422	207401
starcraft-small-version	Starcraft Small Version	🖱Cursor Mania🖱	201	Custom (contact author)	17	7	1	0	203805	203811	203812	203802
albion-1995-dos-game	Most Albion DOS 1995	꧁​Ꮯʋꝛ̢ ⳽σ̴ꝛ̢⬩Ꮯⱺ︠͡ ɭȴٟᥱᥴ​ ︠Ꞇῗٟσ̴ᥰٟῗٟﬆ꧂	200	Custom (contact author)	14	7	0	0	237175	237168		237163
bears-cursors-set	Bears Cursors! Set!	Goodbye?	200	Attribution+NonCommercial (CC by-nc)	10	1	0	1	189199			
clear-gray	Clear Gray	🖱Cursor Mania🖱	200	Custom (contact author)	14	10	5	0	202846	202850	202849	202847
genshin-impact-wanderer	Wanderer Genshin	MerriMari	200	Release to Public Domain	7	4	3	1	246366	246369		
glass-1	GLASS	juanello	200	Release to Public Domain	3	3	0	0	66236	66238		66237
metro-x3-light-red	Metro X3 Light Red	🖱Cursor Mania🖱	200	Custom (contact author)	15	13	15	0	199919	199924	199920	199921
nb-neon-glass-transparent-classi	NB Neon Glass Transparent Classic	🖱Cursor Mania🖱	200	Custom (contact author)	15	12	2	0	223515	223521		223516
spike	Spike	Windows_20	200	Release to Public Domain	17	15	14	0	251680	251676	251682	251671
what-christmas-means-to-me	What Christmas Means To Me	Edward	200	Release to Public Domain	6	3	0	1	60288			
windows-2-0	Windows 2.0	Selale H.	200	Release to Public Domain	17	17	0	0	247983	247988	247984	247996
c750b-dark	C750B-Dark	RIDDLER	199	Custom (contact author)	17	17	0	0	213658	213672	213663	213661
cyan-transparency	Cyan Transparency	🖱Cursor Mania🖱	199	Custom (contact author)	15	15	2	0	203392	203390	203394	203384
green-3	green	The Male Boss	199	Release to Public Domain	15	15	2	0	72361	72367	72369	72376
hand-glove	Hand with glove Cusors	ViniciusGamer-blox	199	Release to Public Domain	15	15	14	1	195411	195423	195416	195414
longarrow	Long orange arrows	darix555	199	Release to Public Domain	11	0	3	1	151682			
male-and-human	logan trott	logan	199	Release to Public Domain	3	1	0	0	234961			
aero-purple-shadow	Aero Purple Shadow	🖱Cursor Mania🖱	198	Custom (contact author)	15	13	2	0	200865	200871	200877	200866
dark-blue-transparency	Dark Blue Transparency	🖱Cursor Mania🖱	198	Custom (contact author)	15	15	2	0	203467	203465	203469	203459
florensia	FLORENSIA	THTH	198	Release to Public Domain	16	3	7	0	247045	247050	247049	
flowing-meece	Flowing Meece	GreatPatmojibob	198	Release to Public Domain	3	1	3	1	134380			
radiactive-green-transparency	Radiactive Green Transparency	🖱Cursor Mania🖱	198	Custom (contact author)	15	15	2	0	203452	203450	203454	203444
sport	SPORTS	bouderbabari	198	Release to Public Domain	3	3	3	0	20340			
the-star-blue	The Star Blue	🖱Cursor Mania🖱	198	Custom (contact author)	16	13	16	0	203820	203823	203826	
tzar-the-burden-of-the-crown-1	Tzar: The Burden of the Crown	THTH	198	Release to Public Domain	16	0	0	0	233361			
aero-tailles-shad-red-edit	Aero Tailless Shadow Red Edit	🖱Cursor Mania🖱	197	Custom (contact author)	15	13	2	0	222682	222687	222693	222683
among-us-1	Among Us	azawesome07	197	Release to Public Domain	7	7	0	0	142263	142268	142314	142266
binary-enchanced-purple-bezel-	Binary Enchanced Purple Bezel Edit	🖱Cursor Mania🖱	197	Custom (contact author)	22	17	6	1	216873	216870	216876	216860
cherrybloss1zip	Cherry Bloss 1	The Chaos Clan	197	Custom (contact author)	3	3	1	0	65518			65520
green-blue-transparency	Green-Blue Transparency	🖱Cursor Mania🖱	197	Custom (contact author)	15	15	2	1	203513	203511	203515	203505
hard-to-be-a-god	HARD TO BE A GOD	THTH	197	Release to Public Domain	9	3	8	0	240621	240620		
jade-classic	Jade Classic	🖱Cursor Mania🖱	197	Custom (contact author)	16	13	16	0	221941	221944	221947	
sayings	Sayings	Daniel W.	197	Release to Public Domain	6	1	6	0	28424			
shining-force	Shining Force	B8KDBNZ	197	Release to Public Domain	6	6	6	0	25166	25168	25171	
spellforce-3-legacy	SPELLFORCE 3 LEGACY	THTH	197	Release to Public Domain	18	3	6	0	253988	253997		
aiba	Aiba - AI The Somnium Files	xcitedbbls	196	NonCommercial Usage Only (CC nc)	6	4	3	0	232564	232565	232567	232562
animated-stickmen	Animated Stickmen	Fireypanda	196	Release to Public Domain	7	7	7	0	102917	102925	102932	102929
cursor-blog	Cursor_blog	apotoxinfansub	196	Release to Public Domain	3	2	0	0	68985	68986		
enemies-from-heavy-weapon-deluxe	Enemies from heavy weapon deluxe	Lieutenant General Smith	196	Release to Public Domain	31	1	0	1	156021			
knights-of-honor	Knights of Honor	THTH	196	Release to Public Domain	12	3	11	0	231130	231140		
lindows-white	Lindows White	CoXGamer01	196	Release to Public Domain	10	10	2	0	253445	253444		253439
mouse-1	Mouse	Walter White 2nd	196	Release to Public Domain	15	13	3	1	236920		236931	236925
oxygen-black	Oxygen Black	🖱Cursor Mania🖱	196	Custom (contact author)	15	6	2	0	196256	196249	196255	
pvz-2009-style	PvZ 2009 Style	Zero242	196	Release to Public Domain	5	4	0	0	236783	236784		236781
simple-but-beautifull-cursor-	Simple but beautifull cursor+present for the HELP!	xXLucas cursorsXx	196	Release to Public Domain	24	1	4	0	165159			
sims1	The Sims 1	BFDIIsCool2024	196	Release to Public Domain	16	10	0	0	246881	246879		246882
so-very-smiley	Smileys	macaroni94	196	Release to Public Domain	5	5	0	1	206191	206195	206193	206192
the-pack-of-nobody	the pack of nobody	A good nobody	196	Release to Public Domain	3	1	0	1	67799			
tmnt	TMNT	THTH	196	Release to Public Domain	5	5	0	0	204303	204307	204306	204305
zapper	Zapper	vlham	196	Attribution Required (CC by)	7	7	2	0	10500	10506	10502	10504
chacer	Chacer	Mr X	195	Release to Public Domain	15	15	15	0	77221	77222	77231	77219
cool-runescape-and-non-cursors-w	runescape cursors + normal cursors with circles around them	dom	195	Release to Public Domain	5	1	1	0	13233			
diamond-glass	Diamond Glass Blue	Julian2012	195	Release to Public Domain	17	17	6	0	242810	242806	242799	242800
flashing-neon-aqua-and-white	Flashing Neon Aqua and White	307Jonny	195	Release to Public Domain	15	15	15	0	190410	190408	190412	190402
food-lover-ethanweegee-rw	Food Lover's	ETHANWEEGEE	195	Release to Public Domain	15	15	6	0	81043	81040	81050	81042
metallic-purple-arrow	Metallic Shiny Purple Arrow	7vintage	195	Release to Public Domain	17	15	5	0	182284	182299	182286	182288
mushroom	Mushroom	CutePusheenLove	195	Release to Public Domain	15	15	0	0	131653	131668	131659	131656
no-name-2	Rotation	Mr X	195	Release to Public Domain	15	15	15	0	76292	76293	76355	76290
retro-2000s-1	Retro 2000s	Johnny Hose	195	Release to Public Domain	16	16	0	0	239991	239993	239987	239979
rotmggub	rotmggub	gub	195	Release to Public Domain	14	1	1	0	66417			
vikicursors	Viki	ViVine	195	Release to Public Domain	7	7	1	0	250266	250264	250267	250262
vs-1-0-pink-cuartz	VS 1.0 Pink Cuartz	🖱Cursor Mania🖱	195	Custom (contact author)	15	10	2	1	219352	219357	219353	219354
windows-7-midnight-purple-edit	Windows 7 Midnight Purple Edit	🖱Cursor Mania🖱	195	Custom (contact author)	16	13	2	1	246213	246217		246214
x-d000	XD0	Super Shadic	195	Release to Public Domain	15	15	2	0	72430	72428	72433	72422
aero-tailles-shad-light-blue-edi	Aero Tailless Shadow Light Blue Edit	🖱Cursor Mania🖱	194	Custom (contact author)	15	13	2	0	222805	222810	222816	222806
baldurs-gate-ii	BALDURS GATE II	THTH	194	Release to Public Domain	5	5	1	0	204261	204265	204264	204263
beaursor	Beaursor	hamzasolom20	194	Release to Public Domain	15	15	0	0	213773	213786	213788	213776
candy-crush	candy crush saga	The Male Boss	194	Custom (contact author)	7	1	0	1	72223			
dessert-cakes	dessert cakes	huskydessert	194	Release to Public Domain	3	0	0	0	140506			
feather-light	High Contrast_Feather Light	Zon3dy	194	Release to Public Domain	14	14	7	0	93708	93711	93713	93707
geneforge-3	GENEFORGE 3	THTH	194	Release to Public Domain	7	4	0	0	240657	240656		240658
hero-from-omori	Hero From Omori	Sour_n_sweet	194	Release to Public Domain	15	14	15	1	255607	255604	255609	
images-2-images-1	Grand Theft Auto 5	dougie	194	Release to Public Domain	3	1	0	0	225266	225266		
nb-gray-glass-transparent-classi	NB Gray Glass Transparent Classic	🖱Cursor Mania🖱	194	Custom (contact author)	15	12	2	0	223408	223414		223411
pile-poop-zip	pile of poo emoji (emoji 2)	♠♣♥♦Liyan Graphicsツ	194	Release to Public Domain	17	17	2	1	161943	161940	161946	161934
saori-sato	Saori Sato	ArtIgoreshn	194	NonCommercial Usage Only (CC nc)	29	17	23	1	246422	246419	252279	246411
aero-magenta-shadow	Aero Magenta Shadow	🖱Cursor Mania🖱	193	Custom (contact author)	15	13	2	1	200802	200807	200813	200803
aonoexorcist	aonoexorcist	HolyG	193	Release to Public Domain	3	0	2	0	96685			
burning-love	Burning Love	SamhainSweets	193	Attribution Required (CC by)	3	3	1	1	97174	97175		97176
cod-boz-wonder-weapons	cod boz wonder weapons	Omartiano	193	Release to Public Domain	5	1	1	0	150326			
fat-thingy	WIP amoug us thingy	jon	193	Release to Public Domain	4	4	1	0	144429	144432		
it-s-a-ramdom-cur-sors-more-	Es un ramdom Cur sors (más real)	ANTONIAcrack287	193	Release to Public Domain	21	3	5	0	158120			
kuzuhaver1	test	furi	193	Attribution Required (CC by)	3	0	3	0	198212			
metro-x3-bold-yellow	Metro X3 Bold Yellow	🖱Cursor Mania🖱	193	Custom (contact author)	15	13	15	0	199638	199643	199639	199640
oxygen-white	Oxygen White	🖱Cursor Mania🖱	193	Custom (contact author)	15	6	2	0	196743	196736	196742	
pixeler	Pixeler	🖱Cursor Mania🖱	193	Custom (contact author)	16	14	9	1	244821	244816	244809	244819
rainbow-2	Rainbow	Jman	193	Release to Public Domain	15	0	15	1	49477			
rainbowcursorset	Rainbow	CursorCreator	193	Release to Public Domain	15	15	2	0	257087	257093	257112	257111
sid-meier-s-civilization-vi	SID MEIER'S CIVILIZATION VI	THTH	193	Release to Public Domain	52	3	52	0	256484			256508
square-crosshair	Square Crosshair	Ollie	193	Release to Public Domain	15	15	0	1	166218	166221	166219	174702
tropic-pens	cheap money pens	Mr.RounakPramanick	193	Release to Public Domain	4	0	0	0	228263			
